Year,Project,Award,Github
2021,Mohakash,Best Mission Concept,https://github.com/samirimtiaz1996/NASAInternationalSpaceAppsChallenge2021Khulna_Mohakash_Virtual-Planetary-Exploration-v2.0
2021,Change Maker,Best Use of Technology,https://github.com/ChangeMakerGroupEdition/Sunshine
2021,Cambridge Asteroids,Best Use of Data,https://github.com/Laurence-Cullen/Asteroids
2021,Bioshi,Most Inspirational,
2021,4 Seeds,Galactic Impact,
2021,Landslide Detection Squad,Local Impact,https://github.com/rociopey/landslidedetectionsquad
2021,Eagle AI,Global Connection,
2021,Space Travelers,Best Storytelling,https://github.com/s-antoniou/nsac-space-travelers
2021,Jimmy in the Box,Art and Technology,https://github.com/HSSBoston/jimmy-in-the-box
2021,Ani's Cuff,Best Use of Science,https://github.com/TsungTang/debugger
2022,Mars 3D Home,Best Mission Concept,
2022,tAMing particles,Best Use of Technology,
2022,Starflock,Best Use of Data,https://github.com/GaelleMG/starflock_firexaq
2022,Team Diamonds,Most Inspirational,
2022,Selene,Galactic Impact,
2022,Brute Force,Local Impact,
2022,Standard NCTUCS Student,Global Connection,https://github.com/dengrenhao/3D_ISS_Tracker
2022,MIMBI,Best Storytelling,https://github.com/lucianosantiviago/MIMBI_eng
2022,"Earth, Wind, and Flare",Art and Technology,https://github.com/HSSBoston/earth-wind-and-flare
2022,What's New?,Best Use of Science,https://github.com/ton731/nasa-hackathon-whats-new
2023,Astrogenesis,Best Mission Concept,
2023,Spacebee,Best Use of Technology,
2023,Storm Prophet,Best Use of Data,
2023,Space Quest Maidens Donzelas da Missao Espacial,Most Inspirational,
2023,Greetings from Earth,Galactic Impact,https://github.com/OceanGardens/oceangardens.github.io
2023,Quality over Quantity,Local Impact,
2023,Immeresed in the Sounds of Space,Global Connection,
2023,Voyagers,Best Storytelling,
2023,Oogway Comics,Art and Technology,
2023,Lunartech Ensemble,Best Use of Science,https://github.com/LLuisPP/NASA_MoonquakeApp
2024,AsturExplorers,Best Mission Concept,
2024,42QuakeHeroes,Best Use of Technology,
2024,GaamaRamma,Best Use of Data,
2024,Innovisionaries,Most Inspirational,
2024,NVS-knot,Galactic Impact,
2024,Team I.O.,Local Impact,
2024,Asteroid Destroyer,Global Connection,
2024,TerraTales,Best Storytelling,
2024,Connected Earth Museum,Art and Technology,
2024,WMPGang,Best Use of Science,
